Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
Academic Literacy and Ethos: Ethical and Societal Implications of Emerging Technologies,2025 Winter Quarter,Undergraduate,Student Option,31492,Seminar,In Person,5 units,,Closed,0,30,31,0,0,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines how technological revolutions happen, how they transform societies, and how these changes generate new ideological narratives.",Enrollment is restricted to college members.,Students from any College may enroll in this course.,"Days & Times: TuTh 09:50AM-11:25AM, Room: Crown Clrm 208, Instructor: Gonzalez Riano,F., Dates: 01/06/25 - 03/14/25",
Introduction to Broadcast Media: Radio,2025 Winter Quarter,Undergraduate,Student Option,30929,Lecture,In Person,3 units,,Open,8,24,16,0,0,"Comprehensive history of noncommercial radio as a mass-communication medium. Course also serves as an introduction to UCSC's radio station KZSC-FM and broadcasting. Through lectures, hands-on instruction, and written assignments, students learn the fundamentals of program presentation and audio production. Enrollment is by permission of the instructor. Concurrent enrollment in CRWN 70L is required.",,,"Days & Times: Tu 03:20PM-04:55PM, Room: Crown Clrm 203, Instructor: Melamed,S., Dates: 01/06/25 - 03/14/25",
Broadcast Production: Radio,2025 Winter Quarter,Undergraduate,Student Option,30928,Laboratory,In Person,2 units,PR-S,Open,8,24,16,0,0,"Practical application of technical and creative skills in the KZSC studios. Production of audio content and promotional materials for broadcast. Critical evaluation in a workshop setting. Assignments require original research, professional writing, and the operation of complex technology. Enrollment is by permission of the instructor. Concurrent enrollment in CRWN 70 is required; students who have taken CRWN 70B are exempt from CRWN 70 co-enrollment.",,,"Days & Times: Th 03:20PM-04:55PM, Room: Crown Clrm 203, Instructor: Camps,M., Dates: 01/06/25 - 03/14/25",
Theory and Practices for a Purposeful Life,2025 Winter Quarter,Undergraduate,Student Option,31807,Seminar,In Person,3 units,,Open,63,90,27,0,0,"Goal is to understand our ability to impact the world around us and recognize that while we cannot control it, we are able to control the ways in which we respond to the various situations that life brings us. The class discusses each of our seven intelligences, the ways in which we intake, process, and put out information and how we gain, use, and lose our internal resources in our everyday exchanges. Includes lectures and active engagement with texts and videos, shared experiences, physical exercises, and games. Also includes a customized App to support follow-through and engagement, and journaling to support self-awareness and reflection.",,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Steven Acad 175, Instructor: Berkley,L., Dates: 01/06/25 - 03/14/25","#32869 DIS 01A, Th 05:20PM-06:25PM, Staff, Loc: J Baskin Engr 165, Enrl: 12 / 30, Wait: 0 / 0, Open; #32870 DIS 01B, M 12:00PM-01:05PM, Staff, Loc: Earth&Marine B214, Enrl: 14 / 30, Wait: 0 / 0, Open; #32871 DIS 01C, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #32872 DIS 01D, F 09:20AM-10:25AM, Staff, Loc: PhysSciences 130, Enrl: 1 / 30, Wait: 0 / 0, Open"
Storytelling in a Digital Age,2025 Winter Quarter,Undergraduate,Student Option,31451,Seminar,In Person,5 units,PR-C,Open,13,30,17,0,0,"Explores theories and practices of narrative form, subjectivity, political and social engagement, and identity. Students engage with a variety of methods and approaches to communicating effectively and reaching audiences in the modern digital arena. Students develop, produce, and share several digital stories using film, photo, audio, and mixed media methods. (Formerly offered as Professional Communication in a Digital Age.)",Enrollment is restricted to College Scholars Students.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Crown Clrm 208, Instructor: Greaney,K.J., Dates: 01/06/25 - 03/14/25",
Start-up Entrepreneurship Academy,2025 Winter Quarter,Undergraduate,Student Option,31456,Seminar,Synchronous Online,5 units,PR-E,Open,1,30,29,0,0,"Introduction to the basics of setting up a start-up company using the Lean Launchpad/NSF I-Corps model of instruction. Students learn principles of data collection, marketing processes, and resources needed for new companies. The class is articulated around the design of a business plan, in groups of 4-5 students coached by a successful entrepreneur, and culminates in a presentation. The market research for the project  involves talking to at least 5 potential customers, partners, channels and/or related experts each week.",Enrollment is restricted to College Scholar Students.,,"Days & Times: MW 01:25PM-03:00PM, Room: Online, Instructor: Monastyrska,Y., Dates: 01/06/25 - 03/14/25",
Creative AI and Marketing,2025 Winter Quarter,Undergraduate,Student Option,32711,Studio,Synchronous Online,5 units,PR-S,Closed,0,30,32,0,0,"Five-credit online course to introduce students to the world of marketing design or other creative occupations. This is an online project-based class where students are trained in the marketing fundamentals needed to succeed in today?s dynamic marketing industry. This includes branding, project management, and website creation. In addition, this class incorporates hands-on experience with AI software tools for the generation of text, image, and video content while introducing important ethical issues raised by the use of AI such as data privacy, algorithmic bias, and the responsible use of AI. (Formerly Marketing for Good.) May be repeated for credit.",,This course is primarily online synchronous but will require in-person attendance on some dates. Contact instructors for more information.,"Days & Times: MW 05:20PM-06:55PM, Room: Online, Instructor: Monastyrska,Y.Vargas,R., Dates: 01/06/25 - 03/14/25",
GetVirtual Business Assistance,2025 Winter Quarter,Undergraduate,Student Option,31233,Field Studies,Hybrid,5 units,PR-S,Open,2,35,33,0,0,"Community service-oriented class provides a supervised learning experience for students who deliver real solutions to local businesses while gaining valuable practical skills and an opportunity to integrate their academic coursework with community involvement. Teams are formed and businesses assigned while students are trained to do interviews, write proposals, project-manage, design websites, and marketing campaigns. No prerequisites are required and familiarity in the following areas is preferred: the lean startup method, the business model canvas, and customer discovery. May be repeated for credit.May be repeated for credit.",,,"Days & Times: MW 03:25PM-05:00PM, Room: Online, Instructor: Monastyrska,Y., Dates: 01/06/25 - 03/14/25",
Fundamentals of Starting and Scaling an Organization,2025 Winter Quarter,Undergraduate,Student Option,32513,Seminar,In Person,3 units,,Closed,0,24,25,0,0,"Touches on the main operational facets of starting and scaling an organization. Students from all disciplines are welcome and encouraged to approach this class within the framework of their own career and business goals. For those who wish to start and scale companies, or those who desire to work in fast-paced and high-growth industries, this course hopes to illustrate the fundamental systems and practices that underpin the creation of new organizations, products and services. Satisfies the Core requirement of the planned Innovation and Entrepreneurship Certificate.",,,"Days & Times: Tu 11:40AM-01:15PM, Room: Crown Clrm 202, Instructor: Koht,P.J.Neuner,J., Dates: 01/06/25 - 03/14/25",
Computing Technology in a Changing Society,2025 Winter Quarter,Undergraduate,Student Option,30510,Lecture,In Person,5 units,PE-T,Open,12,144,132,0,0,"Introduction to computer hardware, software, and networking, with an emphasis on how these technologies impact society. Students learn key technical concepts and terminology and learn to modify and create programming code through making webpages and simple games. Students also gain hands-on experience using emerging technological tools such as 3D printing, laser-cutting, or 3D modeling software in virtual reality headsets. Course covers the history of computing, the early days of the internet, hardware fundamentals, accessibility tools, professional programming practices, open-source software, intellectual property concerns, networking, digital privacy, and cybersecurity. Designed for students with only basic, user-level computer experience. (Formerly offered as Personal Computer Concepts: Software and Hardware.)",,,"Days & Times: TuTh 09:50AM-11:25AM, Room: J Baskin Engr 152, Instructor: Moulds,G.B., Dates: 01/06/25 - 03/14/25",
Computer Systems and Assembly Language and Lab,2025 Winter Quarter,Undergraduate,Student Option,30494,Lecture,In Person,7 units,,Closed,0,240,241,0,0,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is 7 credits with integrated laboratories illustrating concepts covered in lecture. Note that CSE 12 assumes some programming experience. Students can show programming experience by taking one of the courses listed in the prerequisite list below or by taking the CSE python Test-out Exam: https://undergrad.soe.ucsc.edu/cse-20-testout-exam (Formerly CSE 12 and CSE 12L)","Prerequisite(s): CSE 5J, or CSE 20, or CSE 30, or BME 160, or equivalent.","Enroll in lecture and associated secondary lab.. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.","Days & Times: TuTh 11:40AM-01:15PM, Room: ClassroomUnit 002, Instructor: Nath,S., Dates: 01/06/25 - 03/14/25","#31245 LBS 01A, M 10:00AM-12:00PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 40 / 42, Wait: 0 / 0, Open; #31244 LBS 01B, M 03:00PM-05:00PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 40 / 42, Wait: 0 / 0, Open; #31243 LBS 01C, Tu 09:00AM-11:00AM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 40 / 42, Wait: 0 / 0, Open; #31242 LBS 01D, W 02:00PM-04:00PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 40 / 42, Wait: 0 / 0, Open; #31238 LBS 01E, Th 05:00PM-07:00PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 41 / 42, Wait: 0 / 0, Open; #31237 LBS 01F, F 12:00PM-02:00PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 40 / 42, Wait: 0 / 0, Open"
Computer Systems and Assembly Language and Lab,2025 Winter Quarter,Undergraduate,Student Option,31246,Lecture,Synchronous Online,7 units,,Closed,0,240,242,0,0,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is 7 credits with integrated laboratories illustrating concepts covered in lecture. Note that CSE 12 assumes some programming experience. Students can show programming experience by taking one of the courses listed in the prerequisite list below or by taking the CSE python Test-out Exam: https://undergrad.soe.ucsc.edu/cse-20-testout-exam (Formerly CSE 12 and CSE 12L)","Prerequisite(s): CSE 5J, or CSE 20, or CSE 30, or BME 160, or equivalent.","Enroll in lecture and associated secondary lab. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.","Days & Times: MW 05:20PM-06:55PM, Room: Online, Instructor: Siero,M., Dates: 01/06/25 - 03/14/25","#31241 LBS 02A, , Staff, Loc: TBD In Person, Enrl: 40 / 41, Wait: 0 / 0, Open; #31240 LBS 02B, , Staff, Loc: TBD In Person, Enrl: 39 / 41, Wait: 0 / 0, Open; #31239 LBS 02C, , Staff, Loc: TBD In Person, Enrl: 38 / 41, Wait: 0 / 0, Open; #31247 LBS 02D, , Staff, Loc: TBD In Person, Enrl: 39 / 41, Wait: 0 / 0, Open; #31248 LBS 02E, , Staff, Loc: Online, Enrl: 23 / 23, Wait: 0 / 0, Closed; #31249 LBS 02F, , Staff, Loc: Online, Enrl: 21 / 21, Wait: 0 / 0, Closed; #33125 LBS 02G, , Staff, Loc: Online, Enrl: 21 / 21, Wait: 0 / 0, Closed; #33124 LBS 02H, , Staff, Loc: Online, Enrl: 21 / 21, Wait: 0 / 0, Closed"
Computer Systems and C Programming,2025 Winter Quarter,Undergraduate,Student Option,31633,Lecture,In Person,7 units,,Open,48,120,72,0,0,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",Prerequisite(s): CSE 12 or BME 160.,Enroll in lecture and associated secondary lab.,"Days & Times: MWF 01:20PM-02:25PM, Room: Humn Lecture Hall, Instructor: Veenstra,K.S., Dates: 01/06/25 - 03/14/25","#31631 LBS 01A, M 05:15PM-06:45PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 23 / 30, Wait: 0 / 0, Open; #31630 LBS 01B, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #31629 LBS 01C, W 10:00AM-11:30AM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 16 / 30, Wait: 0 / 0, Open; #31628 LBS 01D, Th 11:00AM-12:30PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 14 / 30, Wait: 0 / 0, Open; #31627 LBS 01E, Th 12:45PM-02:15PM, Staff, Loc: MingOng Cmp Lb 103, Enrl: 19 / 30, Wait: 0 / 0, Open; #31626 LBS 01F, , Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
Computer Systems and C Programming,2025 Winter Quarter,Undergraduate,Student Option,31632,Lecture,In Person,7 units,,Open,6,178,172,0,0,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",Prerequisite(s): CSE 12 or BME 160.,Enroll in lecture and associated discussion section.,"Days & Times: MWF 02:40PM-03:45PM, Room: Humn Lecture Hall, Instructor: Rudnick,A.J., Dates: 01/06/25 - 03/14/25","#31625 DIS 02A, M 08:00AM-09:05AM, Staff, Loc: N. Sci Annex 103, Enrl: 26 / 30, Wait: 0 / 0, Open; #31624 DIS 02B, M 09:20AM-10:25AM, Staff, Loc: N. Sci Annex 103, Enrl: 30 / 30, Wait: 0 / 0, Closed; #31623 DIS 02C, Tu 08:30AM-09:35AM, Staff, Loc: Cowell Com 134, Enrl: 30 / 30, Wait: 0 / 0, Closed; #31622 DIS 02D, Tu 11:40AM-12:45PM, Staff, Loc: Cowell Acad 113, Enrl: 26 / 0, Wait: 0 / 0, Closed; #31621 DIS 02E, W 05:20PM-06:25PM, Staff, Loc: Cowell Acad 113, Enrl: 30 / 30, Wait: 0 / 0, Closed; #31620 DIS 02F, W 07:10PM-08:15PM, Staff, Loc: Cowell Acad 113, Enrl: 30 / 30, Wait: 0 / 0, Closed"
Computer Systems and C Programming,2025 Winter Quarter,Undergraduate,Student Option,30511,Lecture,In Person,7 units,,Open,33,60,27,0,0,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",Prerequisite(s): CSE 12 or BME 160.,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 09:50AM-11:25AM, Room: Steven Acad 150, Instructor: Bhargava,K., Dates: 01/06/25 - 03/14/25","#31634 DIS 03A, Th 01:30PM-02:35PM, Staff, Loc: PhysSciences 136, Enrl: 17 / 30, Wait: 0 / 0, Open; #31635 DIS 03B, Th 05:20PM-06:25PM, Staff, Loc: Earth&Marine B214, Enrl: 10 / 30, Wait: 0 / 0, Open; #31636 DIS 03C, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #31637 DIS 03D, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
Applied Discrete Mathematics,2025 Winter Quarter,Undergraduate,Student Option,30509,Lecture,In Person,5 units,MF,Closed,0,240,247,0,0,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course.",Prerequisite(s): MATH 19A or MATH 19B or MATH 11B or AM 11B or AM 15B or ECON 11B.,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 03:20PM-04:55PM, Room: Humn Lecture Hall, Instructor: Miller,K.A., Dates: 01/06/25 - 03/14/25","#33008 DIS 01A, M 08:00AM-09:05AM, Staff, Loc: Cowell Clrm 131, Enrl: 41 / 43, Wait: 0 / 0, Open; #33009 DIS 01B, M 02:40PM-03:45PM, Staff, Loc: PhysSciences 114, Enrl: 43 / 43, Wait: 0 / 0, Closed; #33010 DIS 01C, W 09:20AM-10:25AM, Staff, Loc: Porter Acad 144, Enrl: 38 / 43, Wait: 0 / 0, Open; #33012 DIS 01D, W 04:00PM-05:05PM, Staff, Loc: Porter Acad 144, Enrl: 42 / 43, Wait: 0 / 0, Open; #33011 DIS 01E, F 01:20PM-02:25PM, Staff, Loc: Cowell Clrm 131, Enrl: 42 / 43, Wait: 0 / 0, Open; #33013 DIS 01F, F 02:40PM-03:45PM, Staff, Loc: Cowell Clrm 131, Enrl: 41 / 43, Wait: 0 / 0, Open"
Applied Discrete Mathematics,2025 Winter Quarter,Undergraduate,Student Option,30508,Lecture,In Person,5 units,MF,Open,2,60,58,0,0,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course.",Prerequisite(s): MATH 19A or MATH 19B or MATH 11B or AM 11B or AM 15B or ECON 11B.,Enroll in lecture and associated discussion section.,"Days & Times: MWF 09:20AM-10:25AM, Room: N. Sci Annex 101, Instructor: Westphal,C.J., Dates: 01/06/25 - 03/14/25","#32935 DIS 02A, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #32936 DIS 02B, W 12:00PM-01:05PM, Staff, Loc: R Carson  Acad 252, Enrl: 26 / 30, Wait: 0 / 0, Open; #32937 DIS 02C, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #32938 DIS 02D, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #32939 DIS 02E, Tu 01:30PM-02:35PM, Staff, Loc: Soc Sci 2 179, Enrl: 32 / 32, Wait: 0 / 0, Closed; #32940 DIS 02F, , Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
Beginning Programming in Python,2025 Winter Quarter,Undergraduate,Student Option,30507,Lecture,In Person,5 units,MF,Open,10,60,50,0,0,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30.,"Enroll in lecture and associated secondary lab. Enrollment restricted to frosh, sophomores, or Computer Science, Computer Engineering, Computer Game Design, Bioinformatics, Biomolecular Engineering and Bioinformatics, Electrical Engineering, Network and Digital Technology, Robotics Engineering, and Technology and Information Management majors and Computer Science proposed majors during First Pass enrollment. Restrictions lifted after First Pass enrollment.","Days & Times: MWF 09:20AM-10:25AM, Room: J Bask Aud 101, Instructor: Munishkina,L.A., Dates: 01/06/25 - 03/14/25","#31342 LBS 01A, M 11:00AM-12:00PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 12 / 30, Wait: 0 / 0, Open; #31341 LBS 01B, M 12:00PM-01:00PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 7 / 30, Wait: 0 / 0, Open; #31340 LBS 01C, Tu 02:15PM-03:15PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 15 / 30, Wait: 0 / 0, Open; #31339 LBS 01D, W 01:15PM-02:15PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 8 / 30, Wait: 0 / 0, Open; #31343 LBS 01E, Th 10:00AM-11:00AM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 3 / 30, Wait: 0 / 0, Open; #31344 LBS 01F, F 11:45AM-12:45PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 5 / 30, Wait: 0 / 0, Open"
Beginning Programming in Python,2025 Winter Quarter,Undergraduate,Student Option,30506,Lecture,In Person,5 units,MF,Open,27,180,153,0,0,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30.,"Enroll in lecture and associated discussion section. Enrollment restricted to frosh, sophomores, or Computer Science, Computer Engineering, Computer Game Design, Bioinformatics, Biomolecular Engineering and Bioinformatics, Electrical Engineering, Network and Digital Technology, Robotics Engineering, and Technology and Information Management majors and Computer Science proposed majors during First Pass enrollment. Restrictions lifted after First Pass enrollment.","Days & Times: MW 05:20PM-06:55PM, Room: J Bask Aud 101, Instructor: Campesato,O.A., Dates: 01/06/25 - 03/14/25","#31338 DIS 02A, M 08:00AM-09:05AM, Staff, Loc: N. Sci Annex 102, Enrl: 8 / 30, Wait: 0 / 0, Open; #31337 DIS 02B, M 10:40AM-11:45AM, Staff, Loc: N. Sci Annex 103, Enrl: 28 / 30, Wait: 0 / 0, Open; #31336 DIS 02C, Tu 01:30PM-02:35PM, Staff, Loc: Earth&Marine B210, Enrl: 30 / 30, Wait: 0 / 0, Closed; #32941 DIS 02D, Tu 06:40PM-07:45PM, Staff, Loc: Earth&Marine B210, Enrl: 29 / 30, Wait: 0 / 0, Open; #32942 DIS 02E, W 12:00PM-01:05PM, Staff, Loc: PhysSciences 136, Enrl: 29 / 30, Wait: 0 / 0, Open; #32943 DIS 02F, W 02:40PM-03:45PM, Staff, Loc: PhysSciences 136, Enrl: 29 / 30, Wait: 0 / 0, Open"
Beginning Programming in Python,2025 Winter Quarter,Undergraduate,Student Option,30505,Lecture,In Person,5 units,MF,Open,1,179,178,0,0,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30.,"Enroll in lecture and associated discussion section. Enrollment restricted to frosh, sophomores, or Computer Science, Computer Engineering, Computer Game Design, Bioinformatics, Biomolecular Engineering and Bioinformatics, Electrical Engineering, Network and Digital Technology, Robotics Engineering, and Technology and Information Management majors and Computer Science proposed majors during First Pass enrollment. Restrictions lifted after First Pass enrollment.","Days & Times: TuTh 09:50AM-11:25AM, Room: J Bask Aud 101, Instructor: Paten,B.J., Dates: 01/06/25 - 03/14/25","#31335 DIS 03A, W 02:40PM-03:45PM, Staff, Loc: N. Sci Annex 103, Enrl: 30 / 31, Wait: 0 / 0, Open; #31334 DIS 03B, W 04:00PM-05:05PM, Staff, Loc: N. Sci Annex 103, Enrl: 30 / 31, Wait: 0 / 0, Open; #31333 DIS 03C, W 05:20PM-06:25PM, Staff, Loc: Earth&Marine B210, Enrl: 30 / 31, Wait: 0 / 0, Open; #31347 DIS 03D, Th 01:30PM-02:35PM, Staff, Loc: PhysSciences 140, Enrl: 29 / 31, Wait: 0 / 0, Open; #31346 DIS 03E, Th 07:10PM-08:15PM, Staff, Loc: N. Sci Annex 103, Enrl: 29 / 31, Wait: 0 / 0, Open; #31345 DIS 03F, F 02:40PM-03:45PM, Staff, Loc: J Baskin Engr 372, Enrl: 30 / 31, Wait: 0 / 0, Open"
Beginning Programming in Python,2025 Winter Quarter,Undergraduate,Student Option,30504,Lecture,In Person,5 units,MF,Open,2,180,178,0,0,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30.,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 11:40AM-01:15PM, Room: J Bask Aud 101, Instructor: Yue,H., Dates: 01/06/25 - 03/14/25","#32944 DIS 04A, M 12:00PM-01:05PM, Staff, Loc: N. Sci Annex 102, Enrl: 33 / 33, Wait: 0 / 0, Closed; #32945 DIS 04B, M 02:40PM-03:45PM, Staff, Loc: N. Sci Annex 102, Enrl: 33 / 33, Wait: 0 / 0, Closed; #32946 DIS 04C, , Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #32948 DIS 04D, Tu 07:10PM-08:15PM, Staff, Loc: Steven Acad 152, Enrl: 32 / 33, Wait: 0 / 0, Open; #32947 DIS 04E, W 04:00PM-05:05PM, Staff, Loc: PhysSciences 136, Enrl: 33 / 33, Wait: 0 / 0, Closed; #32949 DIS 04F, W 07:10PM-08:15PM, Staff, Loc: PhysSciences 136, Enrl: 31 / 33, Wait: 0 / 0, Open; #46007 DIS 04G, W 01:20PM-02:25PM, Staff, Loc: Soc Sci 1 161, Enrl: 16 / 30, Wait: 0 / 0, Open"
Programming Abstractions: Python,2025 Winter Quarter,Undergraduate,Student Option,30503,Lecture,In Person,7 units,,Open,1,180,179,0,0,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.","Prerequisite(s): CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE).","Enroll in lecture and associated secondary lab. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.","Days & Times: MWF 10:40AM-11:45AM, Room: J Bask Aud 101, Instructor: Munishkina,L.A., Dates: 01/06/25 - 03/14/25","#31603 LBS 01A, M 09:30AM-10:30AM, Staff, Loc: J Baskin Engr 109, Enrl: 30 / 31, Wait: 0 / 0, Open; #31614 LBS 01B, Tu 11:30AM-12:30PM, Staff, Loc: J Baskin Engr 109, Enrl: 31 / 31, Wait: 0 / 0, Closed; #31615 LBS 01C, Tu 04:15PM-05:15PM, Staff, Loc: J Baskin Engr 109, Enrl: 30 / 31, Wait: 0 / 0, Open; #31613 LBS 01D, W 09:00AM-10:00AM, Staff, Loc: J Baskin Engr 109, Enrl: 27 / 31, Wait: 0 / 0, Open; #31610 LBS 01E, Th 12:45PM-01:45PM, Staff, Loc: J Baskin Engr 109, Enrl: 31 / 31, Wait: 0 / 0, Closed; #31612 LBS 01F, F 01:30PM-02:30PM, Staff, Loc: J Baskin Engr 109, Enrl: 30 / 31, Wait: 0 / 0, Open"
